RfamID	CMname	Description	NumHairpins	Categories
RF00055	SNORD96	Small_nucleolar_RNA_SNORD96_family	1	Gene;snRNA;snoRNA;CD-box;
RF00056	SNORA71	Small_nucleolar_RNA_SNORA71	2	Gene;snRNA;snoRNA;HACA-box;
RF00057	RyhB	RyhB_RNA	2	Gene;sRNA;
RF00058	HgcF	HgcF_RNA	3	Gene;
RF00059	TPP	TPP_riboswitch_(THI_element)	3	Cis-reg;riboswitch;
RF00060	HgcE	HgcE_RNA	1	Gene;
RF00061	IRES_HCV	Hepatitis_C_virus_internal_ribosome_entry_site	7	Cis-reg;IRES;
RF00062	HgcC	HgcC_family_RNA	3	Gene;
RF00063	SscA	SscA_RNA	1	Gene;
RF00064	HgcG	HgcG_RNA	4	Gene;
RF00065	snoR9	Small_nucleolar_RNA_snoR9	1	Gene;snRNA;snoRNA;CD-box;
RF00066	U7	U7_small_nuclear_RNA	1	Gene;snRNA;
RF00067	SNORD15	Small_nucleolar_RNA_SNORD15	1	Gene;snRNA;snoRNA;CD-box;
RF00068	SNORD21	Small_nucleolar_RNA_SNORD21	1	Gene;snRNA;snoRNA;CD-box;
RF00069	SNORD24	Small_nucleolar_RNA_SNORD24	1	Gene;snRNA;snoRNA;CD-box;
RF00070	SNORD29	Small_nucleolar_RNA_SNORD29	1	Gene;snRNA;snoRNA;CD-box;
RF00071	SNORD73	Small_nucleolar_RNA_SNORD73	1	Gene;snRNA;snoRNA;CD-box;
RF00072	SNORA75	Small_nucleolar_RNA_SNORA75	2	Gene;snRNA;snoRNA;HACA-box;
RF00073	mir-156	mir-156_microRNA_precursor	1	Gene;miRNA;
RF00074	mir-29	mir-29_microRNA_precursor	1	Gene;miRNA;
RF00075	mir-166	mir-166_microRNA_precursor	1	Gene;miRNA;
RF00076	mir-181	mir-181_microRNA_precursor	1	Gene;miRNA;
RF00077	SraB	SraB_RNA	4	Gene;sRNA;
RF00078	SraD	SraD_RNA	2	Gene;sRNA;
RF00079	OmrA-B	OmrA-B_family	2	Gene;sRNA;
RF00080	yybP-ykoY	yybP-ykoY_leader	3	Cis-reg;
RF00081	SraH	SraH_RNA	2	Gene;sRNA;
RF00082	SraG	SraG_RNA	3	Gene;sRNA;
RF00083	GlmZ_SraJ	GlmZ_RNA_activator_of_glmS_mRNA	5	Gene;sRNA;
RF00084	CsrC	CsrC_RNA_family	9	Gene;sRNA;
RF00085	SNORD28	Small_nucleolar_RNA_SNORD28	1	Gene;snRNA;snoRNA;CD-box;
RF00086	SNORD27	Small_nucleolar_RNA_SNORD27	1	Gene;snRNA;snoRNA;CD-box;
RF00087	SNORD26	Small_nucleolar_RNA_SNORD26	1	Gene;snRNA;snoRNA;CD-box;
RF00088	SNORD30	Small_nucleolar_RNA_SNORD30	1	Gene;snRNA;snoRNA;CD-box;
RF00089	SNORD31	Small_nucleolar_RNA_SNORD31	1	Gene;snRNA;snoRNA;CD-box;
RF00090	SNORA74	Small_nucleolar_RNA_SNORA74	3	Gene;snRNA;snoRNA;HACA-box;
RF00091	SNORA62	Small_nucleolar_RNA_SNORA62/SNORA6_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00092	SNORA63	Small_nucleolar_RNA_SNORA63	2	Gene;snRNA;snoRNA;HACA-box;
RF00093	SNORD18	Small_nucleolar_RNA_SNORD18	1	Gene;snRNA;snoRNA;CD-box;
RF00094	HDV_ribozyme	Hepatitis_delta_virus_ribozyme	2	Gene;ribozyme;
RF00095	snoPyro_CD	Pyrococcus_C/D_box_small_nucleolar_RNA	1	Gene;snRNA;snoRNA;CD-box;
RF00096	U8	U8_small_nucleolar_RNA	3	Gene;snRNA;snoRNA;CD-box;
RF00097	snoR71	Plant_small_nucleolar_RNA_R71	1	Gene;snRNA;snoRNA;CD-box;
RF00099	SNORD22	Small_nucleolar_RNA_SNORD22	1	Gene;snRNA;snoRNA;CD-box;
RF00100	7SK	7SK_RNA	5	Gene;
RF00101	SraC_RyeA	SraC/RyeA_RNA	4	Gene;sRNA;
RF00102	VA	VA_RNA	2	Gene;
RF00103	mir-1	mir-1_microRNA_precursor_family	1	Gene;miRNA;
RF00104	mir-10	mir-10_microRNA_precursor_family	1	Gene;miRNA;
RF00105	SNORD115	Small_nucleolar_RNA_SNORD115	1	Gene;snRNA;snoRNA;CD-box;
RF00106	RNAI	RNAI	3	Gene;antisense;
RF00107	FinP	FinP	2	Gene;
RF00108	SNORD116	Small_nucleolar_RNA_SNORD116	1	Gene;snRNA;snoRNA;CD-box;
RF00109	Vimentin3	Vimentin_3'_UTR_protein-binding_region	2	Cis-reg;
RF00110	RybB	RybB_RNA	1	Gene;sRNA;
RF00111	RyeB	RyeB_RNA	3	Gene;sRNA;
RF00112	CyaR_RyeE	CyaR/Rye_RNA	2	Gene;sRNA;
RF00113	QUAD	QUAD_RNA	3	Gene;sRNA;
RF00114	S15	Ribosomal_S15_leader	2	Cis-reg;leader;
RF00115	IS061	IS061_RNA	5	Gene;sRNA;
RF00116	C0465	C0465_RNA	3	Gene;sRNA;
RF00117	C0719	C0719_RNA	4	Gene;sRNA;
RF00118	rydB	rydB_RNA	1	Gene;sRNA;
RF00119	C0299	C0299_RNA	2	Gene;sRNA;
RF00121	MicC	MicC_RNA	3	Gene;sRNA;
RF00122	GadY	GadY	3	Gene;sRNA;
RF00124	IS102	IS102_RNA	4	Gene;sRNA;
RF00125	IS128	IS128_RNA	4	Gene;sRNA;
RF00126	ryfA	ryfA_RNA	9	Gene;sRNA;
RF00127	t44	t44_RNA	2	Gene;sRNA;
RF00128	GlmY_tke1	Glm_Y_RNA_activator_of_glmS_mRNA	3	Gene;sRNA;
RF00129	mir-103	mir-103/107_microRNA_precursor	1	Gene;miRNA;
RF00130	mir-192	mir-192/215_microRNA_precursor	1	Gene;miRNA;
RF00131	mir-30	mir-30_microRNA_precursor	1	Gene;miRNA;
RF00132	snoR24	Small_nucleolar_RNA_R24	1	Gene;snRNA;snoRNA;CD-box;
RF00133	SNORD33	Small_nucleolar_RNA_Z195/SNORD33/SNORD32_family	1	Gene;snRNA;snoRNA;CD-box;
RF00134	snoZ196	Small_nucleolar_RNA_Z196/R39/R59_family	1	Gene;snRNA;snoRNA;CD-box;
RF00135	snoZ223	Small_nucleolar_RNA_Z223	1	Gene;snRNA;snoRNA;CD-box;
RF00136	SNORD81	Small_nucleolar_RNA_SNORD81	1	Gene;snRNA;snoRNA;CD-box;
RF00137	SNORD83	Small_nucleolar_RNA_SNORD83	1	Gene;snRNA;snoRNA;CD-box;
RF00138	SNORD16	Small_nucleolar_RNA_SNORD16	1	Gene;snRNA;snoRNA;CD-box;
RF00139	SNORA72	Small_nucleolar_RNA_SNORA72	2	Gene;snRNA;snoRNA;HACA-box;
RF00140	Alpha_RBS	Alpha_operon_ribosome_binding_site	1	Cis-reg;
RF00142	snoZ118	Small_nucleolar_RNA_Z118/Z121/Z120	1	Gene;snRNA;snoRNA;CD-box;
RF00143	mir-6	mir-6_microRNA_precursor	1	Gene;miRNA;
RF00144	mir-199	mir-199_microRNA_precursor	1	Gene;miRNA;
RF00145	snoZ105	Small_nucleolar_RNA_Z105	1	Gene;snRNA;snoRNA;CD-box;
RF00147	SNORD34	Small_nucleolar_RNA_SNORD34	1	Gene;snRNA;snoRNA;CD-box;
RF00149	snoZ103	Small_nucleolar_RNA_Z103	1	Gene;snRNA;snoRNA;CD-box;
RF00150	SNORD42	Small_nucleolar_RNA_SNORD42	1	Gene;snRNA;snoRNA;CD-box;
RF00151	SNORD58	Small_nucleolar_RNA_SNORD58	1	Gene;snRNA;snoRNA;CD-box;
RF00152	SNORD79	Small_nucleolar_RNA_SNORD79	1	Gene;snRNA;snoRNA;CD-box;
RF00153	SNORD62	Small_nucleolar_RNA_SNORD62	1	Gene;snRNA;snoRNA;CD-box;
RF00154	SNORD63	Small_nucleolar_RNA_SNORD63	1	Gene;snRNA;snoRNA;CD-box;
RF00155	SNORA66	Small_nucleolar_RNA_SNORA66	2	Gene;snRNA;snoRNA;HACA-box;
RF00156	SNORA70	Small_nucleolar_RNA_SNORA70	2	Gene;snRNA;snoRNA;HACA-box;
RF00157	SNORD39	Small_nucleolar_RNA_SNORD55/SNORD39	1	Gene;snRNA;snoRNA;CD-box;
RF00158	SNORD82	Small_nucleolar_RNA_SNORD82	1	Gene;snRNA;snoRNA;CD-box;
RF00159	snoZ168	Small_nucleolar_RNA_Z168/Z174	1	Gene;snRNA;snoRNA;CD-box;
RF00160	snoZ159	Small_nucleolar_RNA_Z159/U59	1	Gene;snRNA;snoRNA;CD-box;
RF00161	nos_TCE	Nanos_3'_UTR_translation_control_element	2	Cis-reg;
RF00162	SAM	SAM_riboswitch_(S_box_leader)	3	Cis-reg;riboswitch;
RF00163	Hammerhead_1	Hammerhead_ribozyme_(type_I)	2	Gene;ribozyme;
RF00164	s2m	Coronavirus_3'_stem-loop_II-like_motif_(s2m)	1	Cis-reg;
RF00165	Corona_pk3	Coronavirus_3'_UTR_pseudoknot	1	Cis-reg;
RF00166	PrrB_RsmZ	PrrB/RsmZ_RNA_family	5	Gene;sRNA;
RF00167	Purine	Purine_riboswitch	2	Cis-reg;riboswitch;
RF00168	Lysine	Lysine_riboswitch	4	Cis-reg;riboswitch;
RF00169	Bacteria_small_SRP	Bacterial_small_signal_recognition_particle_RNA	1	Gene;
RF00170	msr	Retron_msr_RNA	1	Gene;
RF00171	Tombus_5	Tombusvirus_5'_UTR	4	Cis-reg;
RF00172	CAESAR	ctgf/hcs24_CAESAR	2	Cis-reg;
RF00173	Hairpin	Hairpin_ribozyme	1	Gene;ribozyme;
RF00174	Cobalamin	Cobalamin_riboswitch	4	Cis-reg;riboswitch;
RF00175	HIV-1_DIS	Human_immunodeficiency_virus_type_1_dimerisation_initiation_site	1	Cis-reg;
RF00176	Tombus_3_IV	Tombusvirus_3'_UTR_region_IV	3	Cis-reg;
RF00177	SSU_rRNA_bacteria	Bacterial_small_subunit_ribosomal_RNA	32	Gene;rRNA;
RF00178	mir-24	mir-24_microRNA_precursor_family	1	Gene;miRNA;
RF00179	GAIT	GAIT_element	1	Cis-reg;
RF00180	REN-SRE	Renin_stability_regulatory_element_(REN-SRE)	1	Cis-reg;
RF00181	SNORD113	Small_nucleolar_RNA_SNORD113/SNORD114_family	1	Gene;snRNA;snoRNA;CD-box;
RF00182	Corona_package	Coronavirus_packaging_signal	1	Cis-reg;
RF00183	G-CSF_SLDE	G-CSF_factor_stem-loop_destabilising_element_(SLDE)	3	Cis-reg;
RF00184	PVX_3	Potato_virus_X_cis-acting_regulatory_element	2	Cis-reg;
RF00185	Flavi_CRE	Flavivirus_3'_UTR_cis-acting_replication_element_(CRE)	2	Cis-reg;
RF00186	SNORD101	Small_nucleolar_RNA_SNORD101	1	Gene;snRNA;snoRNA;CD-box;
RF00187	SNORD102	Small_nucleolar_RNA_SNORD102	1	Gene;snRNA;snoRNA;CD-box;
RF00188	SNORD103	Small_nucleolar_RNA_SNORD103/SNORD85	1	Gene;snRNA;snoRNA;CD-box;
RF00189	SNORD95	Small_nucleolar_RNA_SNORD95	1	Gene;snRNA;snoRNA;CD-box;
RF00190	SNORA16	Small_nucleolar_RNA_SNORA16B/SNORA16A_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00191	SNORA57	Small_nucleolar_RNA_SNORA57	2	Gene;snRNA;snoRNA;HACA-box;
RF00192	BLV_package	Bovine_leukaemia_virus_RNA_packaging_signal	2	Cis-reg;
RF00193	CTV_rep_sig	Citrus_tristeza_virus_replication_signal	10	Cis-reg;
RF00194	Rubella_3	Rubella_virus_3'_cis-acting_element	2	Cis-reg;
RF00195	RsmY	RsmY_RNA_family	3	Gene;sRNA;
RF00196	AMV_RNA1_SL	Alfalfa_mosaic_virus_RNA_1_5'_UTR_stem-loop	1	Cis-reg;
RF00198	SL1	SL1_RNA	3	Gene;
RF00199	SL2	SL2_RNA	3	Gene;
RF00200	snoZ199	Small_nucleolar_RNA_Z199	1	Gene;snRNA;snoRNA;CD-box;
RF00201	snoZ278	Small_nucleolar_RNA_Z278	1	Gene;snRNA;snoRNA;CD-box;
RF00202	snoR66	Small_nucleolar_RNA_R66	1	Gene;snRNA;snoRNA;CD-box;
RF00203	snoR160	Small_nucleolar_RNA_R160	1	Gene;snRNA;snoRNA;CD-box;
RF00204	snoR12	Small_nucleolar_RNA_R12	1	Gene;snRNA;snoRNA;CD-box;
RF00205	snoR41	Small_nucleolar_RNA_R41	1	Gene;snRNA;snoRNA;CD-box;
RF00206	U54	Small_nucleolar_RNA_U54	1	Gene;snRNA;snoRNA;CD-box;
RF00207	K10_TLS	K10_transport/localisation_element_(TLS)	1	Cis-reg;
RF00208	snoR72	Small_nucleolar_RNA_R72	1	Gene;snRNA;snoRNA;CD-box;
RF00209	IRES_Pesti	Pestivirus_internal_ribosome_entry_site_(IRES)	7	Cis-reg;IRES;
RF00210	IRES_Aptho	Aphthovirus_internal_ribosome_entry_site_(IRES)	10	Cis-reg;IRES;
RF00211	SNORD35	Small_nucleolar_RNA_SNORD35	1	Gene;snRNA;snoRNA;CD-box;
RF00212	SNORD38	Small_nucleolar_RNA_SNORD38	1	Gene;snRNA;snoRNA;CD-box;
RF00213	snoR38	Small_nucleolar_RNA_R38	1	Gene;snRNA;snoRNA;CD-box;
RF00214	Retro_dr1	Retrovirus_direct_repeat_1_(dr1)	2	Cis-reg;
RF00215	Tombus_3_III	Tombus_virus_defective_interfering_(DI)_RNA_region_3	2	Cis-reg;
RF00216	IRES_c-myc	c-myc_internal_ribosome_entry_site_(IRES)	4	Cis-reg;IRES;
RF00217	SNORD20	Small_nucleolar_RNA_SNORD20	1	Gene;snRNA;snoRNA;CD-box;
RF00218	SNORD46	Small_nucleolar_RNA_SNORD46	1	Gene;snRNA;snoRNA;CD-box;
RF00220	Rhino_CRE	Human_rhinovirus_internal_cis-acting_regulatory_element_(CRE)	1	Cis-reg;
RF00221	SNORD43	Small_nucleolar_RNA_SNORD43	1	Gene;snRNA;snoRNA;CD-box;
RF00222	IRES_Bag1	Bag-1_internal_ribosome_entry_site_(IRES)	5	Cis-reg;IRES;
RF00223	IRES_Bip	bip_internal_ribosome_entry_site_(IRES)	2	Cis-reg;IRES;
RF00224	IRES_FGF2	FGF-2_internal_ribosome_entry_site_(IRES)	6	Cis-reg;IRES;
RF00225	IRES_Tobamo	Tobamovirus_internal_ribosome_entry_site_(IRES)	3	Cis-reg;IRES;
RF00226	IRES_n-myc	n-myc_internal_ribosome_entry_site_(IRES)	6	Cis-reg;IRES;
RF00227	FIE3	FIE3_(ftz_instability_element_3')_element	1	Cis-reg;
RF00228	IRES_HepA	Hepatitis_A_virus_internal_ribosome_entry_site_(IRES)	9	Cis-reg;IRES;
RF00229	IRES_Picorna	Picornavirus_internal_ribosome_entry_site_(IRES)	5	Cis-reg;IRES;
RF00230	T-box	T-box_leader	5	Cis-reg;
RF00231	SCARNA13	Small_Cajal_body_specific_RNA_13	4	Gene;snRNA;snoRNA;scaRNA;
RF00232	Spi-1	Spi-1_(PU.1)_5'_UTR_regulatory_element	4	Cis-reg;
RF00233	Tymo_tRNA-like	Tymovirus/Pomovirus_tRNA-like_3'_UTR_element	4	Cis-reg;
RF00234	glmS	glmS_glucosamine-6-phosphate_activated_ribozyme	4	Cis-reg;riboswitch;
RF00235	Plasmid_RNAIII	Plasmid_RNAIII	4	Gene;
RF00236	ctRNA_pGA1	ctRNA	2	Gene;antisense;
RF00237	mir-9	mir-9/mir-79_microRNA_precursor_family	1	Gene;miRNA;
RF00238	ctRNA_pND324	ctRNA	2	Gene;antisense;
RF00239	mir-124	mir-124_microRNA_precursor_family	1	Gene;miRNA;
RF00240	RNA-OUT	RNA-OUT	1	Gene;antisense;
RF00241	mir-8	mir-8/mir-141/mir-200_microRNA_precursor_family	1	Gene;miRNA;
RF00242	ctRNA_pT181	ctRNA	2	Gene;antisense;
RF00243	traJ_5	traJ_5'_UTR	3	Cis-reg;
RF00244	mir-26	mir-26_microRNA_precursor_family	1	Gene;miRNA;
RF00245	mir-19	mir-19_microRNA_precursor_family	1	Gene;miRNA;
RF00246	mir-135	mir-135_microRNA_precursor_family	1	Gene;miRNA;
RF00247	mir-160	mir-160_microRNA_precursor_family	1	Gene;miRNA;
RF00248	mir-148	mir-148/mir-152_microRNA_precursor_family	1	Gene;miRNA;
RF00249	mir-46	mir-46/mir-47/mir-281_microRNA_precursor_family	1	Gene;miRNA;
RF00250	mir-TAR	Trans-activation_response_element_(TAR)	1	Gene;miRNA;
RF00251	mir-219	mir-219_microRNA_precursor_family	1	Gene;miRNA;
RF00252	Alfamo_CPB	Alfalfa_mosaic_virus_coat_protein_binding_(CPB)_RNA	7	Cis-reg;
RF00253	mir-101	mir-101_microRNA_precursor_family	1	Gene;miRNA;
RF00254	mir-16	mir-16_microRNA_precursor_family	1	Gene;miRNA;
RF00255	mir-218	mir-218_microRNA_precursor_family	1	Gene;miRNA;
RF00256	mir-196	mir-196_microRNA_precursor_family	1	Gene;miRNA;
RF00257	mir-194	mir-194_microRNA_precursor_family	1	Gene;miRNA;
RF00258	mir-130	mir-130_microRNA_precursor_family	1	Gene;miRNA;
RF00259	IFN_gamma	Interferon_gamma_5'_UTR_regulatory_element	3	Cis-reg;
RF00260	HepC_CRE	Hepatitis_C_virus_(HCV)_cis-acting_replication_element_(CRE)	1	Cis-reg;
RF00261	IRES_L-myc	L-myc_internal_ribosome_entry_site_(IRES)	6	Cis-reg;IRES;
RF00262	sar	sar_RNA	2	Gene;antisense;
RF00263	SNORA68	Small_nucleolar_RNA_SNORA68	2	Gene;snRNA;snoRNA;HACA-box;
RF00264	SNORA64	Small_nucleolar_RNA_SNORA64/SNORA10_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00265	SNORA69	Small_nucleolar_RNA_SNORA69	2	Gene;snRNA;snoRNA;HACA-box;
RF00266	snoZ17	Small_nucleolar_RNA_Z17	1	Gene;snRNA;snoRNA;CD-box;
RF00267	snoR64	Small_nucleolar_RNA_R64/Z200_family	1	Gene;snRNA;snoRNA;CD-box;
RF00268	snoZ7	Small_nucleolar_RNA_snoZ7/snoR77	1	Gene;snRNA;snoRNA;CD-box;
RF00270	SNORD61	Small_nucleolar_RNA_SNORD61	1	Gene;snRNA;snoRNA;CD-box;
RF00271	SNORD60	Small_nucleolar_RNA_SNORD60	1	Gene;snRNA;snoRNA;CD-box;
RF00272	SNORA67	Small_nucleolar_RNA_SNORA67	2	Gene;snRNA;snoRNA;HACA-box;
RF00273	SNORD59	Small_nucleolar_RNA_SNORD59	1	Gene;snRNA;snoRNA;CD-box;
RF00274	SNORD57	Small_nucleolar_RNA_SNORD57	1	Gene;snRNA;snoRNA;CD-box;
RF00275	SNORD56	Small_nucleolar_RNA_SNORD56	1	Gene;snRNA;snoRNA;CD-box;
RF00276	SNORD52	Small_nucleolar_RNA_SNORD52	1	Gene;snRNA;snoRNA;CD-box;
RF00277	SNORD49	Small_nucleolar_RNA_SNORD49	1	Gene;snRNA;snoRNA;CD-box;
RF00278	SNORD50	Small_nucleolar_RNA_SNORD50	1	Gene;snRNA;snoRNA;CD-box;
RF00279	SNORD45	Small_nucleolar_RNA_SNORD45	1	Gene;snRNA;snoRNA;CD-box;
RF00280	SNORD51	Small_nucleolar_RNA_SNORD51	1	Gene;snRNA;snoRNA;CD-box;
RF00281	SNORD47	Small_nucleolar_RNA_SNORD47	1	Gene;snRNA;snoRNA;CD-box;
RF00282	SNORD48	Small_nucleolar_RNA_SNORD48	1	Gene;snRNA;snoRNA;CD-box;
RF00283	SCARNA18	small_Cajal_body-specific_RNA_18	1	Gene;snRNA;snoRNA;scaRNA;
RF00284	SNORD74	Small_nucleolar_RNA_SNORD74	1	Gene;snRNA;snoRNA;CD-box;
RF00285	snoZ6	Z6_small_nucleolar_RNA	1	Gene;snRNA;snoRNA;CD-box;
RF00286	SCARNA8	Small_Cajal_body_specific_RNA_8	2	Gene;snRNA;snoRNA;scaRNA;
RF00287	SNORD44	Small_nucleolar_RNA_SNORD44	1	Gene;snRNA;snoRNA;CD-box;
RF00288	snoZ30	Z30_small_nucleolar_RNA	1	Gene;snRNA;snoRNA;CD-box;
RF00289	SNORND104	Small_nucleolar_RNA_SNORD104	1	Gene;snRNA;snoRNA;CD-box;
RF00290	BaMV_CRE	Bamboo_mosaic_potexvirus_(BaMV)_cis-regulatory_element	4	Cis-reg;
RF00291	snoR639	Small_nucleolar_RNA_snoR639/H1	2	Gene;snRNA;snoRNA;HACA-box;
RF00292	snoTBR5	Small_nucleolar_RNA_TBR5	1	Gene;snRNA;snoRNA;CD-box;
RF00293	snoM1	Small_nucleolar_RNA_snoM1	2	Gene;snRNA;snoRNA;HACA-box;
RF00294	snoTBR17	Small_nucleolar_RNA_TBR17	5	Gene;snRNA;snoRNA;CD-box;
RF00295	snoTBR7	Small_nucleolar_RNA_TBR7	1	Gene;snRNA;snoRNA;CD-box;
RF00296	snoR16	Small_nucleolar_RNA_R16	1	Gene;snRNA;snoRNA;CD-box;
RF00300	snoZ221_snoR21b	Small_nucleolar_RNA_Z221/R21b	1	Gene;snRNA;snoRNA;CD-box;
RF00301	snoZ256	Small_nucleolar_RNA_Z256	1	Gene;snRNA;snoRNA;CD-box;
RF00302	SNORA65	Small_nucleolar_RNA_SNORA65	2	Gene;snRNA;snoRNA;HACA-box;
RF00303	snoR86	Small_nucleolar_RNA_snoR86	3	Gene;snRNA;snoRNA;HACA-box;
RF00304	snoZ279_R105_R108	Small_nucleolar_RNA_Z279/snoR105/snoR108	2	Gene;snRNA;snoRNA;CD-box;
RF00305	snoZ248	Small_nucleolar_RNA_Z248	2	Gene;snRNA;snoRNA;CD-box;
RF00306	snoZ178	Small_nucleolar_RNA_Z178	1	Gene;snRNA;snoRNA;CD-box;
RF00307	snoR98	Small_nucleolar_RNA_snoR98	2	Gene;snRNA;snoRNA;HACA-box;
RF00309	snosnR60_Z15	Small_nucleolar_RNA_snR60/Z15/Z230/Z193/J17	1	Gene;snRNA;snoRNA;CD-box;
RF00310	snoZ165	Small_nucleolar_RNA_Z165	1	Gene;snRNA;snoRNA;CD-box;
RF00311	snoZ188	Small_nucleolar_RNA_Z188	1	Gene;snRNA;snoRNA;CD-box;
RF00312	snoZ206	Small_nucleolar_RNA_Z206	1	Gene;snRNA;snoRNA;CD-box;
RF00313	snoZ173	Small_nucleolar_RNA_Z173	1	Gene;snRNA;snoRNA;CD-box;
RF00314	snoZ182	Small_nucleolar_RNA_Z182	1	Gene;snRNA;snoRNA;CD-box;
RF00315	snoJ33	Small_nucleolar_RNA_J33	1	Gene;snRNA;snoRNA;CD-box;
RF00316	snoR43	Small_nucleolar_RNA_R43	1	Gene;snRNA;snoRNA;CD-box;
RF00317	snoZ163	Small_nucleolar_RNA_Z163/Z177_family	1	Gene;snRNA;snoRNA;CD-box;
RF00318	snoZ175	Small_nucleolar_RNA_Z175	1	Gene;snRNA;snoRNA;CD-box;
RF00319	SNORA23	Small_nucleolar_RNA_SNORA23	2	Gene;snRNA;snoRNA;HACA-box;
RF00320	snoZ185	Small_nucleolar_RNA_Z185	1	Gene;snRNA;snoRNA;CD-box;
RF00321	snoZ247	Small_nucleolar_RNA_Z247	1	Gene;snRNA;snoRNA;CD-box;
RF00322	SNORA31	Small_nucleolar_RNA_SNORA31	2	Gene;snRNA;snoRNA;HACA-box;
RF00323	snoR79	Small_nucleolar_RNA_R79	1	Gene;snRNA;snoRNA;CD-box;
RF00324	snoMBII-202	Small_nucleolar_RNA_MBII-202	1	Gene;snRNA;snoRNA;CD-box;
RF00325	SNORD53_SNORD92	Small_nucleolar_RNA_SNORD53/SNORD92	1	Gene;snRNA;snoRNA;CD-box;
